Company,Ticker,Name,Title,Equity,Cash,Other,Total,F_Salary,M_Salary,F_Number,M_Number,F_Hourly,M_Hourly,H_Number,S_Number,S_Median,H_Median,Median,CEO_Ratio,S_Gender_Ratio,H_Gender_Ratio
JPMORGAN CHASE & CO,JPM,James Dimon,Chairman and CEO,11100000.0,6500000.0,621060.0,18221060.0,69359.0,82060.0,592.0,882.0,16.03,20.15,233.0,1474.0,76958.9199457,36180.0,71392.7287639,255.222910169,0.845223007555,0.795533498759
JUNIPER NETWORKS INC,JNPR,Rami Rahim,Chief Executive Officer,7395346.0,2006250.0,20007.0,9421603.0,104751.0,122906.0,17.0,57.0,33.93,33.03,16.0,74.0,118735.256757,66960.0,109530.766667,86.0178677346,0.852285486469,1.0272479564
K12 INC,LRN,Nathaniel A. Davis,Executive Chairman and Chief Executive Officer,3203654.0,2107280.0,14512.0,5325446.0,52574.0,72368.0,40.0,20.0,18.11,19.0,7.0,60.0,59172.0,37110.0,56867.0149254,93.6473631856,0.726481317709,0.953157894737
KAISER ALUMINUM CORP,KALU,Jack A. Hockema,Chief Executive Officer and Chairman of the Board,3015899.0,1607548.0,290816.0,4914263.0,56381.0,81021.0,7.0,21.0,,,,28.0,74861.0,,74861.0,65.6451690466,0.695881314721,
KAPSTONE PAPER & PACKAGING,KS,Roger W. Stone,Chairman of the Board and Chief Executive Officer,1800003.0,1071100.0,76541.0,2947644.0,52013.0,74345.0,2.0,14.0,15.25,20.66,22.0,16.0,71553.5,35910.0,50917.7894737,57.8902586006,0.699616652095,0.738141335915
KATE SPADE & CO,KATE,Craig Leavitt,"PEO, Chief Executive Officer",6399686.0,3885000.0,72467.0,10357153.0,68778.0,68329.0,24.0,9.0,15.08,10.5,17.0,33.0,68655.5454545,25580.0,54009.86,191.764114923,1.00657114841,1.43619047619
KBR INC,KBR,Stuart J. B. Bradie,President & CEO,3208066.0,2908485.0,151363.0,6267914.0,75959.0,94500.0,15.0,58.0,25.33,26.9,42.0,73.0,90690.2054795,52230.0,76643.8695652,81.779717485,0.803798941799,0.941635687732
KELLOGG CO,K,John Bryant,Chairman and Chief Executive Officer,5328088.0,3595804.0,126315.0,9050207.0,64802.0,73899.0,24.0,56.0,17.13,17.7,30.0,80.0,71169.9,34830.0,61259.0181818,147.736729523,0.876899552091,0.967796610169
KELLY SERVICES INC  -CL A,KELYA,Carl T. Camden,President and Chief Executive Officer,2651200.0,2539200.0,139237.0,5329637.0,51864.0,57701.0,61.0,25.0,17.35,16.71,80.0,86.0,53560.8023256,34060.0,44162.8253012,120.681522608,0.898840574687,1.03830041891
KEMPER CORP,KMPR,Donald G. Southwell,"Former Chairman, President and Chief Executive Officer",1287322.0,1932625.0,7950.0,3227897.0,57477.0,62353.0,16.0,12.0,,,,28.0,59566.7142857,,59566.7142857,54.1896097293,0.921800073774,
KENNAMETAL INC,KMT,Carlos M. Cardoso,"Former Chairman, President and Chief Executive Officer",3282046.0,500000.0,6345.0,3788391.0,64226.0,77238.0,9.0,26.0,,,,35.0,73892.0571429,,73892.0571429,51.2692587875,0.831533701028,
KIMBALL INTERNATIONAL  -CL B,KBAL,Robert F. Schneider,"Chairman of the Board, Chief Executive Officer",785474.0,868120.0,57577.0,1711171.0,53808.0,68753.0,13.0,13.0,15.37,14.0,9.0,26.0,61280.5,29370.0,53074.9428571,32.2406564734,0.782627667156,1.09785714286
KIMBERLY-CLARK CORP,KMB,Thomas J. Falk,Chairman of the Board and Chief Executive Officer,8251731.0,3610615.0,298147.0,12160493.0,68838.0,86118.0,39.0,66.0,13.86,21.78,17.0,105.0,79699.7142857,35640.0,73560.2459016,165.313381582,0.799345084651,0.636363636364
"KINDER MORGAN, INC.",KMI,Jesse Arenivas,"Vice President (President, CO2)",1000043.0,614000.0,62991.0,1677034.0,77520.0,92436.0,24.0,44.0,24.3,27.15,37.0,68.0,87171.5294118,51450.0,74583.9428571,22.4851883094,0.838634298325,0.895027624309
KINDRED HEALTHCARE INC,KND,Paul J. Diaz,Executive Vice Chairman of the Board of Directors,1331374.0,6554133.0,6649567.0,14535074.0,68973.0,68085.0,120.0,34.0,21.68,24.02,405.0,154.0,68776.9480519,45700.0,52057.5134168,279.211837946,1.01304252038,0.902581182348
KLA TENCOR CORP,KLAC,Richard P. Wallace,President & Chief Executive Officer,6303440.0,2053845.0,25613.0,8382898.0,112363.0,109640.0,6.0,55.0,50.37,35.56,7.0,61.0,109907.836066,85930.0,107439.529412,78.0243365351,1.02483582634,1.4164791901
KNOLL INC,KNL,Andrew B. Cogan,Chief Executive Officer,1517654.0,1847892.0,0.0,3365546.0,64353.0,64430.0,24.0,12.0,,,,36.0,64378.6666667,,64378.6666667,52.2773486041,0.998804904548,
KOHL'S CORP,KSS,Sona Chawla,Chief Operating Officer,9000014.0,1242511.0,455511.0,10698036.0,62297.0,67076.0,51.0,33.0,12.75,12.72,68.0,84.0,64174.4642857,25470.0,46859.3092105,228.301188819,0.928752459896,1.00235849057
KORN/FERRY INTERNATIONAL,KFY,Gary D. Burnison,President and Chief Executive Officer,1515819.0,2515686.0,15727.0,4047232.0,79050.0,70867.0,22.0,8.0,,,,30.0,76867.8666667,,76867.8666667,52.6518059562,1.11546982375,
KRAFT HEINZ CO,KHC,Bernardo Hees,Chief Executive Officer,2878583.0,2450000.0,39455.0,5368038.0,64721.0,65075.0,28.0,18.0,25.0,25.47,5.0,46.0,64859.5217391,50470.0,63448.7843137,84.604268751,0.994560122935,0.981546917943
KRATOS DEFENSE & SECURITY,KTOS,Eric DeMarco,President and Chief Executive Officer,1162500.0,1365500.0,40931.0,2568931.0,92368.0,70770.0,3.0,19.0,20.17,18.52,5.0,22.0,73715.1818182,38690.0,67229.037037,38.2116286834,1.3051858132,1.08909287257
KRISPY KREME DOUGHNUTS INC,KKD,Tony Thompson,President and Chief Executive Officer,2849994.0,1100595.0,83519.0,4034108.0,48750.0,62157.0,5.0,19.0,11.02,9.78,13.0,24.0,59363.875,20800.0,45814.4054054,88.053265437,0.784304261789,1.12678936605
KROGER CO,KR,W. Rodney McMullen,Chairman and Chief Executive Officer,5691645.0,3564939.0,232602.0,9489186.0,51562.0,54667.0,116.0,171.0,9.26,9.46,1206.0,287.0,53412.0174216,18720.0,25388.8606832,373.753911938,0.943201565844,0.978858350951
L-3 COMMUNICATIONS HLDGS INC,LLL,Michael T. Strianese,Chairman and Chief Executive Officer and Director,8000034.0,2330723.0,102304.0,10433061.0,73805.0,85177.0,94.0,331.0,22.68,22.75,96.0,425.0,82661.7811765,45430.0,75801.4145873,137.636758586,0.866489780105,0.996923076923
LABORATORY CORP OF AMERICA HOLDINGS,LH,David P. King,Chief Executive Officer,7878178.0,2716852.0,31384.0,10626414.0,53237.0,66283.0,46.0,21.0,15.64,18.25,181.0,67.0,57326.0447761,33890.0,40221.5120968,264.197277676,0.803177285277,0.85698630137
LAM RESEARCH CORP,LRCX,Martin B. Anstice,President and Chief Executive Officer,6407662.0,4746550.0,10527.0,11164739.0,97660.0,102643.0,7.0,43.0,27.18,24.7,24.0,50.0,101945.38,51880.0,85707.9594595,130.264902705,0.951453094707,1.1004048583
LAMAR ADVERTISING CO  -CL A,LAMR,Sean E. Reilly,Chief Executive Officer,2329360.0,1090000.0,214490.0,3633850.0,45635.0,55673.0,16.0,12.0,16.74,16.61,19.0,28.0,49937.0,33350.0,43231.6170213,84.0553800755,0.819697160203,1.00782661048
LAUDER (ESTEE) COS INC -CL A,EL,Fabrizio Freda,President and Chief Executive Officer,9375007.0,6628650.0,84063.0,16087720.0,68261.1621622,72570.5744681,111.0,47.0,17.7836363636,17.1845454545,55.0,158.0,69543.0759494,34968.1818182,60615.286385,265.406978329,0.940617635488,1.03486219119
LAYNE CHRISTENSEN CO,LAYN,Rene J. Robichaud,"Former President, Chief Executive Officer and Director",1227599.0,253424.0,414527.0,1895550.0,56982.0,77289.0,4.0,10.0,12.5,18.24,10.0,14.0,71487.0,30740.0,54509.0833333,34.7749381219,0.737258859605,0.685307017544
LEAR CORP,LEA,Matthew J. Simoncini,President and Chief Executive Officer,8149840.0,4793805.0,668748.0,13612393.0,73794.0,72611.0,13.0,50.0,13.48,17.97,16.0,63.0,72855.1111111,31450.0,64469.2658228,211.145463288,1.01629229731,0.750139120757
LEGGETT & PLATT INC,LEG,David S. Haffner,Board Chair and Chief Executive Officer,4146414.0,2940069.0,2684099.0,9770582.0,47143.0,66539.0,5.0,26.0,14.99,15.42,24.0,31.0,63410.6129032,30410.0,49010.3454545,199.357541951,0.70850178091,0.972114137484
LENNAR CORP,LEN,Stuart A. Miller,Chief Executive Officer,5096000.0,12805133.0,8560.0,17909693.0,64137.0,69781.0,23.0,41.0,18.09,23.72,19.0,64.0,67752.6875,41810.0,61814.0,289.735221794,0.919118384661,0.762647554806
LENNOX INTERNATIONAL INC,LII,Todd M. Bluedorn,Chairman and Chief Executive Officer,4259993.0,2256034.0,45900.0,6561927.0,73342.0,81962.0,11.0,22.0,11.59,16.68,20.0,33.0,79088.6666667,28270.0,59911.8113208,109.526433191,0.894829311144,0.6948441247
LEVEL 3 COMMUNICATIONS INC,LVLT,Jeff K. Storey,President and Chief Executive Officer,7357263.0,3625454.0,216806.0,11199523.0,69736.0,82921.0,39.0,91.0,29.5,26.82,35.0,130.0,78965.5,56320.0,74161.9090909,151.014491634,0.840993234524,1.09992542878
LEXMARK INTL INC  -CL A,LXK,Reynolds Bish,Vice President and President of Enterprise Software,6890011.0,514996.0,4555027.0,11960034.0,105644.0,93349.0,5.0,28.0,,,,33.0,95211.8787879,,95211.8787879,125.614935366,1.13171003439,
LHC GROUP INC,LHCG,Keith G. Myers,Chief Executive Officer,1140893.0,1399100.0,62673.0,2602666.0,67065.0,55368.0,35.0,11.0,20.43,22.47,54.0,46.0,64267.8913043,42900.0,52729.23,49.3590746537,1.2112592111,0.909212283044
LIFEPOINT HEALTH INC,LPNT,William F. Carpenter III,Chairman and Chief Executive Officer,9007700.0,3333750.0,0.0,12341450.0,70949.0,98082.0,8.0,5.0,,,,13.0,81384.7692308,,81384.7692308,151.64323886,0.723364123896,
LILLY ELI & CO,LLY,John C. Lechleiter Ph.D.,"Chairman, President, and Chief Executive Officer",11350000.0,5122500.0,90000.0,16562500.0,80770.0,90769.0,79.0,104.0,21.77,23.37,15.0,183.0,86452.4918033,45140.0,83322.7575758,198.775226383,0.889841245359,0.931536157467
LINKEDIN CORP,LNKD,Jeffrey Weiner,Chief Executive Officer,17262738.0,2467089.0,130154.0,19859981.0,96385.0,122062.0,44.0,81.0,25.72,24.62,19.0,125.0,113023.696,50340.0,104752.930556,189.58878663,0.789639691304,1.04467912266
LIVE NATION ENTERTAINMENT,LYV,Joe Berchtold,Chief Operating Officer,9873989.0,2200000.0,32471.0,12106460.0,54726.0,74090.0,22.0,47.0,17.31,17.99,23.0,69.0,67915.9710145,35300.0,59761.9782609,202.577965996,0.738642191929,0.962201222902
LKQ CORP,LKQ,Dominick Zarcone,Executive Vice President and Chief Financial Officer,4177393.0,802561.0,12684.0,4992638.0,58786.0,58906.0,7.0,27.0,13.92,12.93,48.0,34.0,58881.2941176,26850.0,40131.2682927,124.407680405,0.997962856076,1.07656612529
LMI AEROSPACE INC,LMIA,Daniel G. Korte,Chief Executive Officer and President,470325.0,705449.0,6318.0,1182092.0,63970.0,75619.0,5.0,18.0,15.0,28.12,20.0,23.0,73086.6086957,43120.0,59148.6511628,19.9851049307,0.845951414327,0.533428165007
LOCKHEED MARTIN CORP,LMT,Marillyn A. Hewson,"Chairman, President and Chief Executive Officer",8962915.0,10699681.0,500573.0,20163169.0,68291.0,80431.0,292.0,1134.0,21.99,24.73,133.0,1426.0,77945.1093969,46720.0,75281.2610648,267.837821987,0.84906317216,0.889203396684
LOEWS CORP,L,J. S. Tisch,"President, Chief Executive Officer, Office of the President",776785.0,4400000.0,101614.0,5278399.0,57644.0,57582.0,19.0,24.0,15.33,12.26,33.0,43.0,57609.3953488,27590.0,44574.6578947,118.417038948,1.00107672537,1.25040783034
LOWE'S COMPANIES INC,LOW,Robert A. Niblock,"Chairman of the Board, President and Chief Executive Officer",8944720.0,3957993.0,252451.0,13155164.0,54624.0,61932.0,65.0,144.0,13.16,14.14,577.0,209.0,59659.1770335,27300.0,35904.4122137,366.394077744,0.881999612478,0.930693069307
LPL FINANCIAL HOLDINGS INC,LPLA,Mark S. Casady,"Chair, CEO",3519400.0,2137500.0,52475.0,5709375.0,51391.0,72166.0,33.0,43.0,17.84,18.71,37.0,76.0,63145.2763158,36550.0,54437.0884956,104.880241721,0.712122051936,0.95350080171
LYONDELLBASELL INDUSTRIES NV,LYB,Bob V. Patel,Chief Executive Officer,18875090.0,5118151.0,467122.0,24460363.0,79913.0,104719.0,9.0,30.0,,,,39.0,98994.5384615,,98994.5384615,247.088004855,0.76311844078,
M & T BANK CORP,MTB,Mark J. Czarnecki,President and Chief Operating Officer,1675107.0,1325000.0,247787.0,3247894.0,52791.0,63419.0,64.0,95.0,14.8,16.67,51.0,159.0,59141.0628931,31470.0,52420.947619,61.9579413864,0.832416152888,0.887822435513
MACY'S INC,M,Terry J. Lundgren,Chairman and Chief Executive Officer,9798601.0,1600000.0,189783.0,11588384.0,54718.0,58975.0,240.0,140.0,10.8,11.06,577.0,380.0,56286.3684211,21860.0,35529.8223615,326.159356556,0.927816871556,0.976491862568
MAGELLAN HEALTH INC,MGLN,Barry M. Smith,Chief Executive Officer,4010595.0,2002375.0,148174.0,6161144.0,59489.0,68169.0,15.0,7.0,,,,22.0,62250.8181818,,62250.8181818,98.9728999546,0.87266939518,
MANPOWERGROUP INC.,MAN,Jonas Prising,CEO,5640144.0,3400000.0,74742.0,9114886.0,49315.7115385,52901.1428571,52.0,42.0,16.9425,22.01325,80.0,94.0,50917.712766,38955.75,45417.9597701,200.689023596,0.932223934588,0.769650097101
MANTECH INTERNATIONAL CORP,MANT,George J. Pedersen,Chairman of the Board and Chief Executive Officer (Principal Executive Officer),0.0,2782308.0,259580.0,3041888.0,75578.0,84494.0,30.0,101.0,19.0,32.18,22.0,131.0,82452.1679389,51180.0,77955.5163399,39.0208178051,0.894477714394,0.590428837787
MARATHON OIL CORP,MRO,Lee M. Tillman,President and Chief Executive Officer,8054680.0,2731250.0,256619.0,11042549.0,77571.0,91300.0,11.0,20.0,27.5,30.1,4.0,31.0,86428.4193548,57600.0,83133.7428571,132.82872418,0.849627601314,0.913621262458
MARATHON PETROLEUM CORP,MPC,Gary R. Heminger,President and Chief Executive Officer,10875490.0,5987500.0,488270.0,17351260.0,59960.0,83881.0,11.0,32.0,31.48,31.66,17.0,43.0,77761.6744186,63140.0,73618.8666667,235.690398204,0.714822188577,0.994314592546
MARRIOTT INTL INC,MAR,Arne M. Sorenson,President and Chief Executive Officer,5830347.0,4862919.0,206411.0,10899677.0,56273.0,57506.0,158.0,155.0,13.12,13.05,366.0,313.0,56883.5910543,26170.0,40328.1060383,270.274953891,0.978558759086,1.00536398467
MARTIN MARIETTA MATERIALS,MLM,C. Howard Nye,"Chairman, President and CEO",2428830.0,1581106.0,241027.0,4250963.0,59450.0,74166.0,7.0,27.0,17.16,16.34,23.0,34.0,71136.2352941,33500.0,55949.6842105,75.9783198061,0.801580238923,1.05018359853
MASCO CORP /DE/,MAS,Keith J. Allman,President and Chief Executive Officer,3971551.0,4049461.0,321407.0,8342419.0,51644.0,70442.0,12.0,32.0,18.0,16.57,13.0,44.0,65315.2727273,34570.0,58303.1929825,143.086828924,0.733142159507,1.08630054315
MASTERCARD INC,MA,Ajay Banga,President and Chief Executive Officer,8500065.0,4636333.0,269643.0,13406041.0,85934.0,88256.0,33.0,42.0,21.93,23.88,8.0,75.0,87234.32,45810.0,83241.6144578,161.049747621,0.973690174039,0.918341708543
MATTEL INC /DE/,MAT,Christopher A. Sinclair,Chief Executive Officer,6499999.0,2348682.0,895648.0,9744329.0,93307.0,88417.0,30.0,40.0,22.11,23.39,14.0,70.0,90512.7142857,45500.0,83010.5952381,117.386569414,1.05530610629,0.945275758871
MAXIM INTEGRATED PRODUCTS,MXIM,Tunc Doluca,President and Chief Executive Officer,4285251.0,1590000.0,15845.0,5891096.0,72531.0,97640.0,11.0,40.0,11.61,30.97,7.0,51.0,92224.3333333,42580.0,86232.7758621,68.3162050752,0.742841048751,0.374878915079
MAXIMUS INC,MMS,Richard A. Montoni,Chief Executive Officer,3500000.0,2725000.0,6625.0,6231625.0,52085.0,67243.0,44.0,33.0,14.02,18.4,41.0,77.0,58581.2857143,32420.0,49491.3474576,125.913423661,0.774578766563,0.761956521739
MCDONALDS CORP,MCD,Stephen Easterbrook,President and Chief Executive Officer,5073198.0,2494797.0,341301.0,7909296.0,49987.0,50203.0,118.0,122.0,9.5,9.1,343.0,240.0,50096.8,18600.0,31566.0926244,250.563035917,0.995697468279,1.04395604396
MCKESSON CORP,MCK,John H. Hammergren,"Chairman, President and Chief Executive Officer",12133752.0,12523200.0,375823.0,25032775.0,73136.0,80309.0,128.0,113.0,15.41,16.27,192.0,241.0,76499.2738589,31680.0,56625.6004619,442.075223853,0.910682488887,0.947141979103
MEDIA GENERAL INC,MEG,George L. Mahoney,Former President and Chief Executive Officer,0.0,1009052.0,3466831.0,4475883.0,40467.0,49428.0,19.0,24.0,16.6,14.98,18.0,43.0,45468.4883721,31580.0,41370.2459016,108.190872509,0.818705996601,1.10814419226
MEDTRONIC INC,MDT,Omar Ishrak,Chairman and Chief Executive Officer,12304482.0,13252875.0,25631077.0,51188434.0,74840.0,85705.0,195.0,302.0,21.68,21.36,129.0,497.0,81442.0724346,43040.0,73528.5463259,696.170896309,0.873227933026,1.01498127341
MENTOR GRAPHICS CORP,MENT,Walden C. Rhines,Chairman of the Board and Chief Executive Officer,3414069.0,1629750.0,21025.0,5064844.0,90111.0,98336.0,6.0,21.0,,,,27.0,96508.2222222,,96508.2222222,52.4809584445,0.916358200456,
MERCK & CO,MRK,Kenneth C. Frazier,"Chairman, President and Chief Executive Officer",14712966.0,4902000.0,283472.0,19898438.0,92860.0,103113.0,99.0,126.0,24.26,28.29,18.0,225.0,98601.68,52550.0,95190.4444444,209.038187773,0.900565399125,0.857546836338
MEREDITH CORP,MDP,Stephen M. Lacy,Chairman and CEO,1727011.0,3667797.0,42653.0,5437461.0,59760.0,80447.0,42.0,26.0,16.68,19.75,16.0,68.0,67669.7352941,36430.0,61719.3095238,88.0998352372,0.742849329372,0.844556962025
MERIDIAN BIOSCIENCE INC,VIVO,John A. Kraeutler,"Chairman of the Board, Chief Executive Officer and President",1233050.0,608270.0,111580.0,1952900.0,56078.0,59327.0,44.0,17.0,15.63,16.81,75.0,61.0,56983.4590164,32440.0,43448.4632353,44.947504574,0.945235727409,0.929803688281
METLIFE INC,MET,Steven A. Kandarian,"Chairman of the Board, President and Chief Executive Officer",7833915.0,6325000.0,294924.0,14453839.0,61189.0,79008.0,117.0,132.0,18.4,14.08,19.0,249.0,70635.2168675,32480.0,67930.1828358,212.774916784,0.774465876873,1.30681818182
MGM RESORTS INTERNATIONAL,MGM,James J. Murren,Chairman of the Board and Chief Executive Officer,6249992.0,6453801.0,568147.0,13271940.0,56160.0,70523.0,32.0,42.0,14.47,20.33,27.0,74.0,64311.972973,34800.0,56422.6336634,235.223688408,0.796335947138,0.711756025578
MICHAEL KORS HOLDINGS LTD,KORS,Michael Kors,"Honorary Chairman, Chief Creative Officer and Director",5993642.0,7500000.0,109613.0,13603255.0,59089.0,70878.0,50.0,18.0,15.2,12.52,36.0,68.0,62209.6176471,27720.0,50270.9038462,270.598973944,0.833671943339,1.21405750799
MICROCHIP TECHNOLOGY INC,MCHP,Steve Sanghi,"President and CEO, Director",3254225.0,2505486.0,7599.0,5767310.0,66463.0,80051.0,13.0,40.0,18.11,17.0,8.0,53.0,76718.0943396,35110.0,71261.295082,80.9318718298,0.830258210391,1.06529411765
MICRON TECHNOLOGY INC,MU,D. Mark Durcan,CEO,8007263.0,1377308.0,13250.0,9397821.0,81204.0,85346.0,12.0,112.0,24.39,24.1,31.0,124.0,84945.1612903,48490.0,77654.1290323,121.02152348,0.951468141448,1.01203319502
MICROSOFT CORP,MSFT,Satya Nadella,Chief Executive Officer and Director,12761263.0,5520000.0,13007.0,18294270.0,107658.0,117990.0,285.0,775.0,29.64,33.79,198.0,1060.0,115212.056604,63430.0,107061.939587,170.875570447,0.912433257056,0.877182598402
MICROSTRATEGY INC,MSTR,Timothy E. Lang,Senior Executive Vice President & Chief Technology Officer,3409500.0,668750.0,4533.0,4082783.0,68930.0,90196.0,11.0,30.0,,,,41.0,84490.4878049,,84490.4878049,48.3223982495,0.764224577587,
MILLER (HERMAN) INC,MLHR,Brian C. Walker,President and Chief Executive Officer,2319866.0,1311003.0,150142.0,3781011.0,64278.0,76663.0,15.0,16.0,,,,31.0,70670.2580645,,70670.2580645,53.5021535728,0.838448795377,
MOHAWK INDUSTRIES INC,MHK,Jeffrey S. Lorberbaum,Chief Executive Officer,3332699.0,2772993.0,10952.0,6116644.0,55872.0,71712.0,19.0,30.0,26.22,15.9,16.0,49.0,65569.9591837,42120.0,59797.6615385,102.289016705,0.779116465863,1.64905660377
MOLINA HEALTHCARE INC,MOH,J. Mario Molina M.D.,President and Chief Executive Officer,7893843.0,2356324.0,15490.0,10265657.0,65693.0,77297.0,105.0,64.0,18.8,26.46,74.0,169.0,70087.4142012,45260.0,62526.8024691,164.180105085,0.849877744285,0.710506424792
MOLSON COORS BREWING CO,TAP,Mark Hunter,President and CEO,3422732.0,2550167.0,228514.0,6201413.0,77627.0,81094.0,28.0,34.0,,,,62.0,79528.2580645,,79528.2580645,77.9774780804,0.957247145288,
MONARCH CASINO & RESORT INC,MCRI,John Farahi,"Co-Chairman of the Board, Secretary and Chief Executive Officer",249004.0,750000.0,16639.0,1015643.0,43321.0,58500.0,11.0,2.0,12.09,15.48,18.0,13.0,45656.2307692,27570.0,35154.5483871,28.890799245,0.74052991453,0.781007751938
MONSANTO CO,MON,Hugh Grant,Chairman of the Board and Chief Executive Officer,7092849.0,3485384.0,603255.0,11181488.0,69339.0,80524.0,53.0,108.0,19.25,28.9,32.0,161.0,76841.9813665,48150.0,72084.761658,155.115835064,0.861097312602,0.666089965398
MOODY'S CORP,MCO,Raymond W. McDaniel Jr.,President and Chief Executive Officer,4999984.0,2600500.0,44757.0,7645241.0,79997.0,118084.0,20.0,23.0,,,,43.0,100369.116279,,100369.116279,76.1712495181,0.67745841943,
MOOG INC.,MOG.A,John R. Scannell,"Chief Executive Officer, Chairman of the Board",480213.0,818771.0,45485.0,1344469.0,57325.0,96360.0,4.0,52.0,25.75,27.82,23.0,56.0,93571.7857143,53570.0,81925.6962025,16.4108339913,0.594904524699,0.92559309849
MORGAN STANLEY,MS,James P. Gorman,Chairman and Chief Executive Officer,11250320.0,10523750.0,192410.0,21966480.0,71919.0,83822.0,132.0,192.0,21.42,34.97,36.0,324.0,78972.6296296,56390.0,76714.3666667,286.341150354,0.857996707308,0.612525021447
MORNINGSTAR INC,MORN,Bevin Desmond,Head of Global Markets and Human Resources,536770.0,615000.0,13541.0,1165311.0,72634.0,77644.0,28.0,38.0,,,,66.0,75518.5454545,,75518.5454545,15.4307924363,0.935474730823,
MOSAIC CO,MOS,James T. Prokopanko,Former President and Chief Executive Officer,5699965.0,3553000.0,543169.0,9796134.0,58944.0,78648.0,12.0,17.0,45.0,21.0,7.0,29.0,70494.6206897,66000.0,69620.6666667,140.70727083,0.749465974977,2.14285714286
"MOTOROLA SOLUTIONS, INC.",MSI,Gregory Q. Brown,Chairman and Chief Executive Officer,7752910.0,5150000.0,372415.0,13275325.0,90028.0,95855.0,32.0,120.0,30.0,24.82,15.0,152.0,94628.2631579,54820.0,91052.6706587,145.798304475,0.939210265505,1.20870265915
MSC INDUSTRIAL DIRECT  -CL A,MSM,Erik Gershwind,President and Chief Executive Officer,1120919.0,1117869.0,19963.0,2258751.0,68123.0,71662.0,12.0,37.0,16.09,16.19,11.0,49.0,70795.3061224,32280.0,63734.1666667,35.4401903741,0.950615388909,0.993823347746
MURPHY OIL CORP /DE,MUR,Roger W. Jenkins,President and Chief Executive Officer,9606123.0,2537714.0,197720.0,12341557.0,47947.0,86610.0,10.0,18.0,11.37,10.6,20.0,28.0,72801.7857143,21970.0,51621.875,239.076108723,0.553596582381,1.07264150943
MYLAN INC.,MYL,Robert J. Coury,Executive Chairman,5405642.0,4050000.0,1157391.0,10613033.0,67942.0,77787.0,9.0,22.0,17.0,23.2,5.0,31.0,74928.7741935,40200.0,70105.3333333,151.386955819,0.873436435394,0.73275862069
NABORS INDUSTRIES LTD,NBR,Anthony G. Petrello,"Chairman of the Board, President and CEO",9816826.0,3414250.0,1431652.0,14662728.0,50567.0,90460.0,15.0,17.0,47.5,18.37,4.0,32.0,71760.15625,65870.0,71105.6944444,206.210319927,0.558998452355,2.58573761568
NASDAQ INC,NDAQ,Robert Greifeld,Chief Executive Officer,9427265.0,5177950.0,101230.0,14706445.0,81220.0,83957.0,8.0,20.0,28.0,27.5,8.0,28.0,83175.0,55500.0,77025.0,190.930801688,0.96739997856,1.01818181818
NATIONAL INSTRUMENTS CORP,NATI,Alexander M. Davern,"Chief Operating Officer, Executive Vice President, Chief Financial Officer and Treasurer",808000.0,675087.0,8268.0,1491355.0,65361.0,75686.0,22.0,104.0,19.5,23.06,9.0,126.0,73883.2222222,42560.0,71795.0074074,20.7724054061,0.863581111434,0.845620121422
NATIONAL OILWELL VARCO INC,NOV,Clay C. Williams,"Chairman, President & Chief Executive Officer",7070097.0,850000.0,44600.0,7964697.0,56404.0,71830.0,53.0,184.0,16.13,19.39,76.0,237.0,68380.3037975,35520.0,60401.4440895,131.862691697,0.785242934707,0.83187209902
NAVIGANT CONSULTING INC,NCI,Julie M. Howard,Chairman and Chief Executive Officer,1498675.0,1526769.0,15141.0,3040585.0,77008.2325581,83083.28,43.0,50.0,,,,93.0,80274.3870968,,80274.3870968,37.8773991302,0.926880023973,
NAVISTAR INTERNATIONAL CORP,NAV,Walter G. Borst,Executive Vice President and Chief Financial Officer,2102990.0,1175388.0,141668.0,3420046.0,64116.0,77165.0,20.0,71.0,16.5,22.55,13.0,91.0,74297.0879121,39050.0,69891.2019231,48.9338558488,0.830894835742,0.731707317073
NCI BUILDING SYSTEMS INC,NCS,Norman C. Chambers,Chairman of the Board and Chief Executive Officer,3162584.0,1325775.0,32911.0,4521270.0,40000.0,76594.0,3.0,22.0,15.87,14.58,10.0,25.0,72202.72,30450.0,60273.3714286,75.0127277243,0.522234117555,1.08847736626
NCI INC,NCIT,Brian J. Clark,President,0.0,930438.0,6976.0,937414.0,72023.0,57932.0,5.0,21.0,12.72,15.66,12.0,26.0,60641.8076923,28380.0,50453.8684211,18.5796258907,1.24323344611,0.812260536398
NCR CORP,NCR,William R. Nuti,"Chairman of the Board, Chief Executive Officer and President",8000014.0,3586286.0,360391.0,11946691.0,76049.0,77147.0,45.0,134.0,18.42,18.71,33.0,179.0,76870.9664804,37130.0,70684.8726415,169.013404899,0.985767431008,0.984500267237
NELNET INC,NNI,Jeffery R. Noordhoek,Chief Executive Officer,0.0,1326275.0,65160.0,1391435.0,57720.0,69068.0,7.0,22.0,17.59,13.2,13.0,29.0,66328.8275862,30790.0,55328.7142857,25.1485149793,0.835698152545,1.33257575758
NETAPP INC,NTAP,Thomas Georgens,Former Chairman of the Board and Former Chief Executive Officer,7448250.0,1929812.0,13482.0,9391544.0,102895.0,106194.0,35.0,106.0,,,,141.0,105375.099291,,105375.099291,89.1248887376,0.968934214739,
